,Tweet Date,text,Twitter Handle
147,"10,13,2021 18:49",📷 fleetwoodmar: ola nyman in sex education season 3. https://t.co/XmoQeXXezG,jamonr129
148,"10,13,2021 18:30",Okay but the triangle drama in season 3 of sex education is literally the same triangle drama Taylor wrote about in folklore.,angelrrry
149,"10,13,2021 18:20",@mr_reid98 Sex Education season 3?,JamesErikSchow
150,"10,13,2021 17:55",Sex education really had me going for a second there I was afraid I was goin to see the student teacher affair trope in season 3😣😣,zawadisbackup
151,"10,13,2021 17:23",Season 3 of Sex Education has made me cry more times than real life has,jxmes_v
152,"10,13,2021 17:20",y’all so dumb but I just finished season 3 of sex education and literally that was such an emotionally draining hour and now I have to do schoolwork like it never happened I’m gdkdhdjdd,mxxryxn
153,"10,13,2021 17:10","Well, the final episode of Sex Education season 3 was a rollercoaster of emotions wasn't it https://t.co/uYJm7tcA9Z",__sophielaura
154,"10,13,2021 17:01",i sometimes think about how adam in season 3 of sex education deserves so much better,zerosvinyl
155,"10,13,2021 16:51","Me, @crageshri, @youcaantkillme, @ColinMooreII and others got picked up by @popbuzz for praising #SexEducation's handling of #HIV, #PrEP and #UequalsU - a better sex ed than most of us got at school.
https://t.co/ikPBSFvcFL",Matthew_Hodson
156,"10,13,2021 16:24",Wait did sex education season 3 already come out or is it coming soon?,DanaSapro
157,"10,13,2021 16:16",i fucking love the intro for sex education season 3 its what i needed to see,dickiess101
158,"10,13,2021 15:46","Sex Education season 3 is not only the series’ best yet, but one of my favorite seasons of TV I’ve seen",Asher_de_Forest
159,"10,13,2021 15:30","One HUMAN POO &amp; one CHEATER | Sex Education Season 3 REACTION | Monica Catapusan #SexEducationS3

https://t.co/sNZKufcLt4 https://t.co/tw1GFskFgZ",monicacatapusan
160,"10,13,2021 15:19","Sex Education season 3. 

Muridnya pada pake seragam. Kek Hogwarts.",najmul_ula
161,"10,13,2021 14:34","Sex Education season 1: high school relationships, sex positivity, parent/child dynamics, hate crimes, bullying

Sex Education season 2: coming out, bisexuality, bad parents, sexual assault, artistic expression, self-harm, anxiety

Sex Education season 3: fascism",_loveallthis
162,"10,13,2021 14:17",Fucking fuming with sex education season 3,mikethegorgeous
163,"10,13,2021 14:16",Sex Education - Season 3 🎥,Manuriossx
164,"10,13,2021 14:12","Started watching sex education because I saw my blockhead friend @youngskales has his music in its season 3. 

I must say I’m in love with Adams and Olas characters 😍",CharityOwoh
165,"10,13,2021 13:26",Finally watched sex education season 3! Loved every second but Eric and Adam broke me,Quinzel86
166,"10,13,2021 11:56",Just finished watching sex education season 3,momtobejournal
167,"10,13,2021 11:46",Finished watching sex education season 3. Adam is so precious. 😭❤ I don't know what the writers gonna do for next season but god please let Adam keep on the growing side. I love his character development so much. And seems like they will be no more Maeve so I'm wondering,blossompleasure
168,"10,13,2021 11:44",Sex education second half of season 3 has me all messed up. All I want in life is a friendship like Aimee and Meave &amp; A love like Otis and Meave. 🥲🥲🥲 https://t.co/nTRe2jcrAr,ItsAllieee__
169,"10,13,2021 11:04","Can we please have more of Rebecca Root, like in Sex Education Season 3 Episode 6? I guess most people didn't even notice her. She was just there. 1/8
#QUILTBAG",lalobee
170,"10,13,2021 10:56","TV REVIEW: Here is our SPOILER review of Sex Education Season 3 - which you can watch on Netflix right now!

#SexEducation #SexEducationSeason3 #Netflix

https://t.co/rF2JCGradD",SmallScreenCo
171,"10,13,2021 10:41","@MIT99HH @farmigagas sex education, this scene is from season 3",gillianaswhore
172,"10,13,2021 10:35",Mimi Keene reached 4 million followers on Instagram! She gained around 3 million followers since season 3 of Sex Education premiered! She’s the moment! So freaking proud! She deserves all of this success. https://t.co/bBkmBP4MHj,_samucarla_
173,"10,13,2021 10:28","Okay halfway through season 3 of Sex Education and it's finally gotten back into its groove. Season 2 was really not my jam, but it's definitely come around.",Dbearslayer
174,"10,13,2021 10:22","Adam and Ruby were the best characters in Sex Education Season 3
Their character development&gt;&gt;&gt;&gt;",VarunLovesTay
175,"10,13,2021 10:06","They did an amazing job at making the headmaster in season 3 of sex education so frustrating, that lady drives me mad!",Tommobreeze
176,"10,13,2021 10:00",“It’s just so lonely sometimes with all these men.” -Sex Education Season 3 https://t.co/aVMl1LWZKt,ItsAllieee__
177,"10,13,2021 9:45",@Rutjeadj Ehh… here’s a decent article on that. https://t.co/LEMZ7hLc7g,thesamilisowski
178,"10,13,2021 8:48",Im just starting to watch the season 3 of Sex Education daammn I know that Ruby and Otis will break up but they are soo cute.. I wished the writer pushed the two of them more not saying I love you right now can be fine too they just getting to know each other more haayys =(,V05121
179,"10,13,2021 8:45","Finished season 3 of Sex Education the other day, and I really loved it. My favourite character is somehow Adam, of all people. Eric is having some interesting development, but at this point, it seems like he should have stayed with Raheem then",SanjeevWKRaj
180,"10,13,2021 8:02",📺Sex education📺(season 3) https://t.co/vp1LqpERsO,empowerdgrl
181,"10,13,2021 6:34","https://t.co/vnzGkj7S4s Sex Education’s Mimi Keene Was ‘Super Sad’ About That ‘Harsh’ Season 3 Breakup, Too https://t.co/gxb3f3ROBY",powoddde
182,"10,13,2021 6:30","This season of #SexEducation introduces a number of new characters and relationships; tell us who you’re rooting for!

https://t.co/2VrapqaSM0",TheAffinityMag
183,"10,13,2021 6:16",Sex education season 3 was so bored that I don't think I got hella deadlines from uni at the start of this clip and much more.,DanielF737EBook
184,"10,13,2021 6:09","— sex education, season 3 (2021) https://t.co/1MluUGqsfm",hoonswn
185,"10,13,2021 4:31",i know im late but im finally watching season 3 of sex education and hope can actually die in a hole of fire wtf,coupboos
186,"10,13,2021 4:27",My review of the web series in Hans Sex Education Season 3: A super follow-up to the first two seasons https://t.co/MPLVSLhV8I,prabhatha_r
